"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 19, 2017","175.25","178.35","178.45","173.60","1.27M","-1.74%"
"Oct 18, 2017","178.35","179.25","181.30","176.85","8.82M","-0.22%"
"Oct 17, 2017","178.75","173.30","179.25","172.05","12.07M","3.35%"
"Oct 16, 2017","172.95","173.35","174.75","170.65","4.23M","0.00%"
"Oct 13, 2017","172.95","174.00","175.35","171.80","4.54M","0.06%"
"Oct 12, 2017","172.85","170.70","173.65","169.15","4.99M","1.44%"
"Oct 11, 2017","170.40","172.90","175.80","169.00","7.45M","-0.96%"
"Oct 10, 2017","172.05","172.95","173.60","171.25","4.44M","-0.58%"
"Oct 09, 2017","173.05","172.20","174.75","168.20","7.37M","0.84%"
"Oct 06, 2017","171.60","170.65","174.40","170.10","7.27M","0.23%"
"Oct 05, 2017","171.20","167.25","171.90","166.05","8.36M","2.73%"
"Oct 04, 2017","166.65","168.40","168.95","166.05","4.72M","-0.48%"
"Oct 03, 2017","167.45","168.20","171.05","166.00","8.17M","1.92%"
"Sep 29, 2017","164.30","164.00","168.90","163.25","10.26M","1.51%"
"Sep 28, 2017","161.85","160.10","163.40","158.20","12.73M","1.19%"
"Sep 27, 2017","159.95","170.00","171.90","158.45","14.24M","-5.47%"
"Sep 26, 2017","169.20","166.80","171.90","166.40","9.78M","1.56%"
"Sep 25, 2017","166.60","172.50","174.50","164.30","13.16M","-3.98%"
"Sep 22, 2017","173.50","182.00","182.80","171.90","13.76M","-6.24%"
"Sep 21, 2017","185.05","189.80","190.90","183.20","6.75M","-2.48%"
"Sep 20, 2017","189.75","191.00","191.90","189.10","4.27M","-0.50%"
"Sep 19, 2017","190.70","194.00","195.80","189.25","7.33M","-1.62%"
"Sep 18, 2017","193.85","193.65","195.50","192.70","4.10M","1.20%"
"Sep 15, 2017","191.55","190.55","193.45","190.35","5.18M","-1.03%"
"Sep 14, 2017","193.55","193.80","195.85","191.50","5.48M","0.42%"
"Sep 13, 2017","192.75","196.80","197.55","191.75","5.95M","-1.88%"
"Sep 12, 2017","196.45","193.15","198.60","192.80","9.47M","1.97%"
"Sep 11, 2017","192.65","194.00","194.50","192.00","3.99M","0.44%"
"Sep 08, 2017","191.80","194.00","194.40","188.75","6.41M","-0.49%"
"Sep 07, 2017","192.75","193.95","195.50","192.00","7.73M","0.13%"
"Sep 06, 2017","192.50","189.00","194.35","187.45","10.42M","0.63%"
"Sep 05, 2017","191.30","188.00","191.90","186.70","8.16M","1.76%"
"Sep 04, 2017","188.00","191.05","191.30","182.30","12.41M","-1.88%"
"Sep 01, 2017","191.60","184.55","194.00","184.15","18.83M","3.54%"
"Aug 31, 2017","185.05","182.75","186.90","179.50","13.07M","1.09%"
"Aug 30, 2017","183.05","182.95","186.30","181.70","8.98M","0.80%"
"Aug 29, 2017","181.60","178.00","185.80","176.30","24.29M","0.83%"
"Aug 28, 2017","180.10","190.85","190.85","177.20","29.86M","-3.66%"
"Aug 24, 2017","186.95","185.55","188.90","184.15","10.93M","0.54%"
"Aug 23, 2017","185.95","182.90","189.15","179.10","28.07M","6.08%"
"Aug 22, 2017","175.30","182.90","183.90","168.70","15.10M","-2.83%"
"Aug 21, 2017","180.40","184.40","184.90","179.15","7.55M","-1.66%"
"Aug 18, 2017","183.45","182.00","185.25","178.40","10.99M","-0.94%"
"Aug 17, 2017","185.20","182.00","189.55","179.65","16.96M","2.43%"
"Aug 16, 2017","180.80","181.00","183.20","174.15","14.11M","-0.47%"
"Aug 14, 2017","181.65","161.00","184.00","161.00","31.04M","16.78%"
"Aug 11, 2017","155.55","161.45","165.90","153.00","14.68M","-5.50%"
"Aug 10, 2017","164.60","177.65","180.00","156.00","14.07M","-7.97%"
"Aug 09, 2017","178.85","176.50","182.90","172.60","13.19M","0.14%"
"Aug 08, 2017","178.60","191.55","192.50","176.75","11.94M","-6.66%"
"Aug 07, 2017","191.35","190.05","193.40","190.05","4.26M","0.82%"
"Aug 04, 2017","189.80","188.50","191.20","187.60","5.10M","-0.24%"
"Aug 03, 2017","190.25","192.50","196.30","189.00","6.01M","-1.48%"
"Aug 02, 2017","193.10","194.25","195.45","190.70","5.61M","-0.23%"
"Aug 01, 2017","193.55","194.50","195.65","192.15","6.75M","0.10%"
"Jul 31, 2017","193.35","192.40","194.80","189.75","9.60M","1.10%"
"Jul 28, 2017","191.25","194.95","195.80","190.10","6.75M","-2.35%"
"Jul 27, 2017","195.85","196.20","197.90","190.15","15.76M","0.13%"
"Jul 26, 2017","195.60","196.20","197.80","194.90","10.65M","0.64%"
"Jul 25, 2017","194.35","194.60","196.05","193.00","7.83M","0.15%"
"Jul 24, 2017","194.05","195.80","198.50","193.15","7.20M","-1.15%"
"Jul 21, 2017","196.30","204.20","204.40","193.55","14.37M","-3.30%"
"Jul 20, 2017","203.00","203.00","207.20","202.15","11.75M","0.47%"
"Jul 19, 2017","202.05","201.50","203.35","200.55","5.98M","1.00%"
"Jul 18, 2017","200.05","203.50","205.50","198.75","6.06M","-2.08%"
"Jul 17, 2017","204.30","201.60","205.30","201.30","5.71M","1.39%"
"Jul 14, 2017","201.50","199.00","203.55","199.00","5.96M","0.70%"
"Jul 13, 2017","200.10","202.00","202.95","198.75","3.42M","-0.20%"
"Jul 12, 2017","200.50","199.65","201.70","198.35","4.59M","0.75%"
"Jul 11, 2017","199.00","203.25","204.70","198.25","6.56M","-2.04%"
"Jul 10, 2017","203.15","203.00","206.40","201.45","3.20M","0.44%"
"Jul 07, 2017","202.25","200.40","203.95","199.30","7.11M","0.55%"
"Jul 06, 2017","201.15","198.00","203.90","197.75","11.15M","1.90%"
"Jul 05, 2017","197.40","196.00","197.95","194.55","7.42M","1.20%"
"Jul 04, 2017","195.05","196.00","196.85","192.70","7.75M","0.46%"
"Jul 03, 2017","194.15","191.00","195.10","190.10","6.85M","1.81%"
"Jun 30, 2017","190.70","191.90","192.40","187.80","8.14M","-1.75%"
"Jun 29, 2017","194.10","193.80","195.30","190.70","11.22M","1.76%"
"Jun 28, 2017","190.75","185.40","193.00","183.50","10.68M","1.73%"
"Jun 27, 2017","187.50","192.00","193.35","185.70","8.84M","-2.37%"
"Jun 23, 2017","192.05","196.10","197.85","186.15","15.12M","-1.92%"
"Jun 22, 2017","195.80","198.70","203.80","190.65","18.97M","-0.68%"
"Jun 21, 2017","197.15","194.90","198.80","193.50","9.72M","1.34%"
"Jun 20, 2017","194.55","193.00","196.30","189.65","7.38M","0.91%"
"Jun 19, 2017","192.80","194.00","195.35","190.50","8.16M","-0.41%"
"Jun 16, 2017","193.60","193.00","198.85","191.35","19.12M","0.83%"
"Jun 15, 2017","192.00","188.25","192.95","188.10","13.24M","2.32%"
"Jun 14, 2017","187.65","185.00","189.50","183.10","6.73M","1.46%"
"Jun 13, 2017","184.95","184.50","187.50","183.95","8.14M","0.60%"
"Jun 12, 2017","183.85","183.35","188.05","182.05","15.48M","-0.54%"
